N,M,tiempoInsercionABB,tiempoInsercionSplay,tiempoBusquedaABB,tiempoBusquedaSplay,costoPromedioABB,costoPromedioSplay
10000,1000000,118.1944,2.3531,12633.5047,0.0126335047,243.465,0.000243465
20000,2000000,620.3366,1.5037,51720.7123,0.02586035615,610.3145,0.00030515725
30000,3000000,1458.0809,1.5084,102113.7752,0.03403792506666667,851.2006,0.0002837335333333333
40000,4000000,2026.7085,1.7211,180151.6071,0.045037901775,1431.9474,0.00035798685
50000,5000000,2997.5249,2.5227,276959.4886,0.05539189772,2115.7203,0.00042314406
60000,6000000,4163.0897,2.771,449176.4446,0.07486274076666666,4470.7228,0.0007451204666666666
70000,7000000,7916.1974,3.6422,580531.3665,0.08293305235714286,3307.0464,0.0004724352
80000,8000000,7528.7227,4.4785,865545.87,0.10819323375,3266.51,0.00040831375000000003
90000,9000000,9431.5087,1.4152,1209204.491,0.13435605455555555,6374.3409,0.0007082601
100000,10000000,9684.3367,16.2523,1578585.2522,0.15785852522,7553.2968,0.00075532968
